# N=256, Tmax=4096, anz=10
  0.400000     129.00   0.783203   0.667969   0.574219   0.427734   0.298828   0.195312   0.062500   0.003906   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.402041     205.00   0.785156   0.669922   0.570312   0.455078   0.300781   0.187500   0.089844   0.007812   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.404082     164.00   0.777344   0.679688   0.582031   0.455078   0.349609   0.226562   0.105469   0.007812   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.406122     184.00   0.791016   0.685547   0.572266   0.488281   0.365234   0.220703   0.123047   0.003906   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.408163     222.00   0.787109   0.703125   0.589844   0.478516   0.357422   0.207031   0.101562   0.003906   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.410204     278.50   0.789062   0.710938   0.609375   0.486328   0.384766   0.279297   0.179688   0.058594   0.003906   0.000000   0.000000   0.000000   0.000000 
  0.412245     225.50   0.798828   0.703125   0.576172   0.472656   0.384766   0.294922   0.181641   0.011719   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.414286     237.00   0.804688   0.710938   0.593750   0.472656   0.398438   0.279297   0.183594   0.011719   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.416327     327.50   0.810547   0.687500   0.632812   0.535156   0.384766   0.294922   0.193359   0.099609   0.003906   0.000000   0.000000   0.000000   0.000000 
  0.418367     374.00   0.798828   0.714844   0.591797   0.503906   0.400391   0.324219   0.224609   0.142578   0.003906   0.000000   0.000000   0.000000   0.000000 
  0.420408     328.50   0.802734   0.722656   0.613281   0.513672   0.419922   0.333984   0.208984   0.085938   0.003906   0.000000   0.000000   0.000000   0.000000 
  0.422449     310.50   0.794922   0.738281   0.605469   0.533203   0.441406   0.332031   0.207031   0.136719   0.005859   0.000000   0.000000   0.000000   0.000000 
  0.424490     593.00   0.808594   0.714844   0.625000   0.521484   0.417969   0.341797   0.277344   0.142578   0.103516   0.003906   0.000000   0.000000   0.000000 
  0.426531     713.50   0.800781   0.716797   0.623047   0.548828   0.458984   0.343750   0.283203   0.169922   0.130859   0.003906   0.000000   0.000000   0.000000 
  0.428571     679.00   0.810547   0.701172   0.628906   0.523438   0.449219   0.339844   0.310547   0.255859   0.103516   0.005859   0.000000   0.000000   0.000000 
