# N=128, Tmax=2048, anz=10
  0.600000     162.00   0.843750   0.746094   0.640625   0.531250   0.421875   0.304688   0.136719   0.007812   0.000000   0.000000   0.000000   0.000000 
  0.602041     243.00   0.847656   0.777344   0.656250   0.558594   0.457031   0.328125   0.195312   0.019531   0.000000   0.000000   0.000000   0.000000 
  0.604082     208.00   0.839844   0.769531   0.667969   0.542969   0.460938   0.304688   0.199219   0.019531   0.000000   0.000000   0.000000   0.000000 
  0.606122     227.50   0.855469   0.746094   0.652344   0.562500   0.425781   0.308594   0.222656   0.007812   0.000000   0.000000   0.000000   0.000000 
  0.608163     279.50   0.851562   0.785156   0.691406   0.593750   0.414062   0.304688   0.222656   0.101562   0.007812   0.000000   0.000000   0.000000 
  0.610204     278.00   0.855469   0.800781   0.710938   0.621094   0.453125   0.371094   0.218750   0.101562   0.007812   0.000000   0.000000   0.000000 
  0.612245     275.00   0.859375   0.761719   0.652344   0.558594   0.449219   0.367188   0.277344   0.039062   0.003906   0.000000   0.000000   0.000000 
  0.614286     304.00   0.863281   0.781250   0.707031   0.640625   0.531250   0.445312   0.285156   0.164062   0.007812   0.000000   0.000000   0.000000 
  0.616327     374.00   0.851562   0.777344   0.675781   0.578125   0.507812   0.429688   0.300781   0.113281   0.011719   0.000000   0.000000   0.000000 
  0.618367     453.00   0.839844   0.785156   0.703125   0.648438   0.535156   0.425781   0.289062   0.164062   0.007812   0.000000   0.000000   0.000000 
  0.620408     389.00   0.863281   0.781250   0.726562   0.605469   0.507812   0.410156   0.277344   0.207031   0.007812   0.000000   0.000000   0.000000 
  0.622449     413.00   0.863281   0.785156   0.707031   0.617188   0.570312   0.417969   0.339844   0.191406   0.039062   0.003906   0.000000   0.000000 
  0.624490     664.50   0.851562   0.785156   0.691406   0.605469   0.531250   0.433594   0.375000   0.238281   0.066406   0.007812   0.000000   0.000000 
  0.626531     561.00   0.855469   0.812500   0.687500   0.632812   0.550781   0.457031   0.347656   0.296875   0.082031   0.003906   0.000000   0.000000 
