# N=1024, Tmax=16384, anz=10
  0.400000     198.00   0.790039   0.676270   0.556641   0.454590   0.321777   0.196289   0.095215   0.001953   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.402041     226.00   0.783691   0.675293   0.575195   0.441895   0.335938   0.223145   0.113281   0.002930   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.404082     244.00   0.789551   0.692871   0.575195   0.450195   0.345215   0.225586   0.127930   0.002930   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.406122     270.50   0.794434   0.696289   0.572266   0.459961   0.356445   0.237305   0.120117   0.029297   0.000977   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.408163     308.50   0.797852   0.692383   0.583984   0.468262   0.360352   0.247559   0.158203   0.054688   0.000977   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.410204     291.00   0.797363   0.702148   0.596680   0.482910   0.379395   0.262207   0.147461   0.034668   0.000977   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.412245     316.50   0.804199   0.703125   0.591797   0.481445   0.385254   0.281250   0.170410   0.073242   0.000977   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.414286     436.00   0.801270   0.705078   0.595215   0.486328   0.379883   0.282227   0.169922   0.063965   0.000977   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.416327     436.50   0.796387   0.704102   0.592285   0.500977   0.396973   0.290527   0.215332   0.102539   0.012695   0.000488   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.418367     458.50   0.791016   0.706543   0.617188   0.512207   0.401367   0.326660   0.212891   0.115234   0.002441   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.420408     607.00   0.811523   0.718750   0.613770   0.513184   0.415527   0.320801   0.222168   0.125488   0.041504   0.000977   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.422449     609.00   0.814453   0.706055   0.613770   0.526367   0.433105   0.333008   0.240234   0.160156   0.062988   0.000977   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.424490     667.00   0.815918   0.724121   0.620117   0.521484   0.437988   0.383301   0.270020   0.166992   0.077637   0.000977   0.000000   0.000000   0.000000   0.000000   0.000000 
  0.426531     838.50   0.809570   0.716797   0.618652   0.527344   0.458008   0.368652   0.275879   0.206543   0.100586   0.002441   0.000000   0.000000   0.000000   0.000000   0.000000 
